GameID,GameDate,VisHome,PlayerTeam,PlayerName,PlayerNumber,Class,GamesPlayed,GamesStarted,Position,BattingHand,ThrowingHand,Hitter_AtBats,Hitter_Runs,Hitter_Hits,Hitter_RunnersBattedIn,Hitter_StrikeOuts,Hitter_CaughtStealing,Hitter_HomeRun,Hitter_Doubles,Hitter_StolenBases,Hitter_BaseOnBalls,Field_Errors,Pitcher_Appearances,Pitcher_InningsPitched,Pitcher_Hits,Pitcher_Runs,Pitcher_BaseOnBalls,Pitcher_StrikeOuts,Pitcher_BattersFaced,Pitcher_AtBats,Pitcher_Pitches,Pitcher_Strikes
SFTB_20250206_1100,2025-02-06,V,Clemson,Kennedy Ariail,1,SO,1,0,pr,R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Brooke McCubbin,2,SR,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Kylee Johnson,3,SO,1,1,lf,R,R,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Aby Vieira,4,SR,1,1,c,L,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Marian Collins,5,FR,1,1,ss,L,R,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Reese Basinger,7,SR,1,1,p,L,R,0,0,0,0,0,0,0,0,0,0,0,1,6,6,3,0,3,26,25,84,57
SFTB_20250206_1100,2025-02-06,V,Clemson,Madi Lardizabal,8,FR,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,J. Brockenbrough,9,JR,1,1,cf,L,R,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Riley Burton,10,SO,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Haylee Whitesides,11,SO,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Julia Knowler,12,SO,1,1,1b,L,R,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Abi Stuart,13,SR,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Macey Cintron,16,FR,1,1,dp,R,R,2,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Ava Wilson,17,FR,0,0,"",L,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Brook Melnychuk,19,SR,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Sam Minish,20,FR,1,1,rf,L,L,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Jadeyn Ruszkowski,21,JR,0,0,"",L,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Taylor Pipkins,22,FR,1,1,2b,R,R,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Alex Brown,25,SR,1,1,3b,L,R,4,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Riley Fennell,27,FR,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Maddie Moore,28,SR,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,V,Clemson,Olivia Duncan,44,SO,0,0,"",R,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Whitten,0,JR,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Pickens,1,FR,1,1,2b,R,R,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Strain,2,SR,0,0,"",L,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Llamas,3,FR,1,0,ph,L,L,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Binford,4,SR,1,1,p/3b,R,R,3,0,1,0,1,0,0,0,0,0,0,1,3.1,5,2,1,0,16,14,48,29
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Lansdell,5,SR,1,1,cf,R,R,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Pone,6,SR,1,1,lf,L,R,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Davis,8,FR,0,0,"",R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Guachino,9,FR,1,0,p,R,R,0,0,0,0,0,0,0,0,0,0,0,2,3.2,0,0,2,5,13,11,42,28
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Ferguson,10,SR,0,0,"",L,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Duke,12,FR,0,0,"",L,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Herndon,14,FR,0,0,"",L,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Cooper,15,SR,0,0,"",L,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Lopez,16,SR,0,0,"",L,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFTB_20250206_1100,2025-02-06,H,Ole Miss,Mackay,20,JR,1,1,1b,R,R,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
